Date,Close
1/2/2015,26.17
1/5/2015,25.62
1/6/2015,25.03
1/7/2015,24.99
1/8/2015,25.07
1/9/2015,24.74
1/12/2015,24.56
1/13/2015,24.74
1/14/2015,24.97
1/15/2015,25.02
1/16/2015,25.33
1/20/2015,25.28
1/21/2015,25.83
1/22/2015,26.65
1/23/2015,26.92
1/26/2015,26.69
1/27/2015,25.86
1/28/2015,25.43
1/29/2015,25.46
1/30/2015,26.65
2/2/2015,26.35
2/3/2015,26.39
2/4/2015,26.07
2/5/2015,26.31
2/6/2015,26.48
2/9/2015,26.32
2/10/2015,26.77
2/11/2015,26.73
2/12/2015,27.07
2/13/2015,27.38
2/17/2015,27.07
2/18/2015,26.91
2/19/2015,27.07
2/20/2015,26.87
2/23/2015,26.52
2/24/2015,26.73
2/25/2015,27.12
2/26/2015,27.7
2/27/2015,27.84
3/2/2015,28.49
3/3/2015,28.6
3/4/2015,28.59
3/5/2015,28.69
3/6/2015,28.31
3/9/2015,28.36
3/10/2015,27.67
3/11/2015,27.48
3/12/2015,27.7
3/13/2015,27.29
3/16/2015,27.65
3/17/2015,27.47
3/18/2015,27.9
3/19/2015,27.82
3/20/2015,27.94
3/23/2015,27.86
3/24/2015,28.43
3/25/2015,27.86
3/26/2015,27.68
3/27/2015,27.34
3/30/2015,27.53
3/31/2015,27.32
4/1/2015,27.05
4/2/2015,26.7
4/6/2015,26.76
4/7/2015,26.78
4/8/2015,27.01
4/9/2015,26.96
4/10/2015,26.93
4/13/2015,26.88
4/14/2015,26.45
4/15/2015,26.55
4/16/2015,26.62
4/17/2015,26.13
4/20/2015,26.7
4/21/2015,26.63
4/22/2015,26.89
4/23/2015,27.28
4/24/2015,28.18
4/27/2015,27.77
4/28/2015,27.68
4/29/2015,27.45
4/30/2015,26.87
5/1/2015,26.9
5/4/2015,27.04
5/5/2015,26.54
5/6/2015,26.21
5/7/2015,26.54
5/8/2015,26.91
5/11/2015,26.79
5/12/2015,26.45
5/13/2015,26.48
5/14/2015,26.92
5/15/2015,26.69
5/18/2015,26.62
5/19/2015,26.87
5/20/2015,26.96
5/21/2015,27.13
5/22/2015,27.01
5/26/2015,26.62
5/27/2015,26.99
5/28/2015,26.99
5/29/2015,26.61
6/1/2015,26.7
6/2/2015,26.96
6/3/2015,27.02
6/4/2015,26.84
6/5/2015,26.67
6/8/2015,26.34
6/9/2015,26.33
6/10/2015,26.83
6/11/2015,26.73
6/12/2015,26.62
6/15/2015,26.36
6/16/2015,26.41
6/17/2015,26.46
6/18/2015,26.84
6/19/2015,26.83
6/22/2015,26.91
6/23/2015,27.02
6/24/2015,26.89
6/25/2015,26.76
6/26/2015,26.58
6/29/2015,26.08
6/30/2015,26.03
7/1/2015,26.09
7/2/2015,26.17
7/6/2015,26.14
7/7/2015,26.25
7/8/2015,25.84
7/9/2015,26.03
7/10/2015,26.51
7/13/2015,27.33
7/14/2015,28.06
7/15/2015,28.01
7/16/2015,28.99
7/17/2015,33.65
7/20/2015,33.15
7/21/2015,33.12
7/22/2015,33.1
7/23/2015,32.21
7/24/2015,31.18
7/27/2015,31.36
7/28/2015,31.4
7/29/2015,31.6
7/30/2015,31.63
7/31/2015,31.28
8/3/2015,31.56
8/4/2015,31.46
8/5/2015,32.19
8/6/2015,32.13
8/7/2015,31.77
8/10/2015,31.69
8/11/2015,33.04
8/12/2015,32.98
8/13/2015,32.82
8/14/2015,32.86
8/17/2015,33.04
8/18/2015,32.81
8/19/2015,33.05
8/20/2015,32.34
8/21/2015,30.62
8/24/2015,29.48
8/25/2015,29.1
8/26/2015,31.43
8/27/2015,31.88
8/28/2015,31.52
8/31/2015,30.91
9/1/2015,29.89
9/2/2015,30.72
9/3/2015,30.31
9/4/2015,30.04
9/8/2015,30.73
9/9/2015,30.64
9/10/2015,31.07
9/11/2015,31.29
9/14/2015,31.16
9/15/2015,31.76
9/16/2015,31.8
9/17/2015,32.15
9/18/2015,31.46
9/21/2015,31.77
9/22/2015,31.13
9/23/2015,31.12
9/24/2015,31.29
9/25/2015,30.6
9/28/2015,29.74
9/29/2015,29.75
9/30/2015,30.42
10/1/2015,30.56
10/2/2015,31.35
10/5/2015,32.07
10/6/2015,32.27
10/7/2015,32.12
10/8/2015,31.96
10/9/2015,32.18
10/12/2015,32.33
10/13/2015,32.62
10/14/2015,32.56
10/15/2015,33.09
10/16/2015,33.11
10/19/2015,33.31
10/20/2015,32.51
10/21/2015,32.13
10/22/2015,32.59
10/23/2015,35.1
10/26/2015,35.64
10/27/2015,35.42
10/28/2015,35.65
10/29/2015,35.85
10/30/2015,35.54
11/2/2015,36.06
11/3/2015,36.11
11/4/2015,36.41
11/5/2015,36.56
11/6/2015,36.69
11/9/2015,36.24
11/10/2015,36.42
11/11/2015,36.77
11/12/2015,36.56
11/13/2015,35.85
11/16/2015,36.45
11/17/2015,36.27
11/18/2015,37
11/19/2015,36.92
11/20/2015,37.83
11/23/2015,37.8
11/24/2015,37.41
11/25/2015,37.41
11/27/2015,37.51
11/30/2015,37.13
12/1/2015,38.35
12/2/2015,38.12
12/3/2015,37.63
12/4/2015,38.34
12/7/2015,38.16
12/8/2015,38.12
12/9/2015,37.58
12/10/2015,37.47
12/11/2015,36.94
12/14/2015,37.39
12/15/2015,37.17
12/16/2015,37.9
12/17/2015,37.47
12/18/2015,36.97
12/21/2015,37.39
12/22/2015,37.5
12/23/2015,37.52
12/24/2015,37.42
12/28/2015,38.13
12/29/2015,38.83
12/30/2015,38.55
12/31/2015,37.94
1/4/2016,37.09
1/5/2016,37.13
1/6/2016,37.18
1/7/2016,36.32
1/8/2016,35.72
1/11/2016,35.8
1/12/2016,36.3
1/13/2016,35.03
1/14/2016,35.74
1/15/2016,34.72
1/19/2016,35.09
1/20/2016,34.92
1/21/2016,35.33
1/22/2016,36.26
1/25/2016,35.58
1/26/2016,35.65
1/27/2016,35
1/28/2016,36.55
1/29/2016,37.15
2/1/2016,37.6
2/2/2016,38.23
2/3/2016,36.35
2/4/2016,35.4
2/5/2016,34.18
2/8/2016,34.14
2/9/2016,33.91
2/10/2016,34.21
2/11/2016,34.16
2/12/2016,34.12
2/16/2016,34.55
2/17/2016,35.42
2/18/2016,34.87
2/19/2016,35.05
2/22/2016,35.32
2/23/2016,34.79
2/24/2016,34.98
2/25/2016,35.29
2/26/2016,35.25
2/29/2016,34.89
3/1/2016,35.94
3/2/2016,35.94
3/3/2016,35.62
3/4/2016,35.54
3/7/2016,34.76
3/8/2016,34.7
3/9/2016,35.26
3/10/2016,35.64
3/11/2016,36.34
3/14/2016,36.52
3/15/2016,36.42
3/16/2016,36.8
3/17/2016,36.89
3/18/2016,36.88
3/21/2016,37.1
3/22/2016,37.04
